"Prediction","Ground Truth"
"15.85690689086914","22.5"
"11.48275375366211","17.5"
"6.282603740692139","0"
"19.330896377563477","30"
"25.067529678344727","35"
"25.451343536376953","40"
"26.284950256347656","45"
"14.068931579589844","47.5"
"9.519155502319336","47.5"
"16.792129516601562","42.5"
"35.355499267578125","47.5"
"35.85115432739258","47.5"
"20.798564910888672","42.5"
"20.427642822265625","37.5"
"26.056476593017578","35"
"25.560237884521484","32.5"
"27.397485733032227","35"
"20.542224884033203","35"
"29.891427993774414","32.5"
"28.541473388671875","35"
"27.38805389404297","37.5"
"27.183927536010742","42.5"
"33.26262664794922","42.5"
"34.674339294433594","42.5"
"31.523822784423828","42.5"
"30.762163162231445","42.5"
"31.665197372436523","42.5"
"28.449813842773438","37.5"
"23.577823638916016","27.5"
"16.879850387573242","22.5"
"10.249956130981445","0"
"16.67559242248535","17.5"
"14.064715385437012","17.5"
"13.858226776123047","17.5"
"13.500782012939453","17.5"
"12.032201766967773","0"
"8.499116897583008","0"
"17.14072036743164","0"
"20.880374908447266","17.5"
"20.546470642089844","20"
"23.427446365356445","25"
"25.234600067138672","25"
"25.077770233154297","27.5"
"26.959312438964844","27.5"
"31.734567642211914","25"
"31.40732765197754","27.5"
"30.819091796875","27.5"
"31.69045639038086","27.5"
"32.34101867675781","32.5"
"35.09046936035156","35"
"39.423316955566406","37.5"
"33.19956588745117","32.5"
"36.54215621948242","35"
"40.091705322265625","37.5"
"36.0582160949707","37.5"
"35.15367889404297","37.5"
"31.60284423828125","37.5"
"25.422466278076172","35"
"33.845184326171875","37.5"
"35.00489044189453","37.5"
"32.590946197509766","35"
"25.391324996948242","32.5"
"13.46521282196045","27.5"
"10.877642631530762","25"
"10.242902755737305","20"
"22.184650421142578","27.5"
"13.00427532196045","25"
"7.159416675567627","20"
"7.912896156311035","17.5"
"6.976883888244629","0"
"7.223727226257324","0"
"8.805789947509766","17.5"
"13.084047317504883","17.5"
"14.039501190185547","17.5"
"12.100001335144043","17.5"
"12.291844367980957","20"
"15.43146800994873","20"
"18.97500228881836","22.5"
"11.106419563293457","20"
"12.03001594543457","20"
"17.34103775024414","22.5"
"18.91444206237793","25"
"23.12830352783203","27.5"
"28.235525131225586","30"
"31.448768615722656","30"
"25.54192352294922","27.5"
"25.448991775512695","30"
"30.272382736206055","30"
"31.915884017944336","35"
"33.26344299316406","37.5"
"37.56790542602539","42.5"
"38.68578338623047","45"
"36.596248626708984","37.5"
"38.80095672607422","42.5"
"40.56476593017578","45"
"40.773624420166016","50"
"45.07552719116211","50"
"45.451927185058594","50"
"37.5938720703125","50"
"40.0915641784668","50"
"43.0650749206543","50"
